Company;Product;Energy_kcal;Carbs_g;Protein_g;Fat_g;Price_TL;Category;Protein_Source;Size;Brand_Tier;Calorie_per_TL;Protein_per_TL;Fat_Ratio;Protein_Ratio;Carb_Ratio;Is_Premium;Total_Macros_g;Price_per_Macro_g;Price_Segment
McDonald's;Hamburger;241,2;30,04;13,05;7,07;325;Burger;Beef;Regular;Global Chain;0,74;0,0402;26,4;21,6;49,8;0;50,2;6,47;Below Median
McDonald's;Cheeseburger;287,2;30,09;16,03;11,03;335;Burger;Beef;Regular;Global Chain;0,86;0,0479;34,6;22,3;41,9;0;57,2;5,86;Below Median
McDonald's;Double Cheeseburger;422,7;32;28;20,08;405;Burger;Beef;Large;Global Chain;1,04;0,0691;42,8;26,5;30,3;1;80,1;5,06;Above Median
McDonald's;Big Mac;492,9;44,3;27,08;23,08;425;Burger;Beef;Regular;Global Chain;1,16;0,0637;42,1;22;36;0;94,5;4,5;Above Median
McDonald's;Double Big Mac;672,2;45,3;45,5;35,4;525;Burger;Beef;Large;Global Chain;1,28;0,0867;47,4;27,1;27;1;126,2;4,16;Above Median
McDonald's;Quarter Pounder;539,6;42,6;35,6;25,08;440;Burger;Beef;Regular;Global Chain;1,23;0,0809;41,8;26,4;31,6;0;103,3;4,26;Above Median
McDonald's;Double Quarter Pounder;764,8;39,8;58,8;41,8;560;Burger;Beef;Large;Global Chain;1,37;0,105;49,2;30,8;20,8;1;140,4;3,99;Above Median
McDonald's;Köfteburger;391,3;42;13,05;19,07;330;Burger;Beef;Regular;Global Chain;1,19;0,0395;43,9;13,3;42,9;0;74,1;4,45;Below Median
McDonald's;Double Köfteburger;517,9;48,7;17,07;29,04;380;Burger;Beef;Large;Global Chain;1,36;0,0449;50,5;13,2;37,6;1;94,8;4,01;Above Median
McDonald's;McRoyal;509,4;45,7;33,4;22,03;440;Burger;Beef;Regular;Global Chain;1,16;0,0759;38,9;26,2;35,9;0;101,1;4,35;Above Median
McDonald's;McChicken;360,5;53,5;17,05;10;335;Sandwich;Chicken;Regular;Global Chain;1,08;0,0509;25;18,9;59,4;0;80,6;4,16;Below Median
McDonald's;Double McChicken;505,8;64,5;28,01;17,03;375;Sandwich;Chicken;Large;Global Chain;1,35;0,0747;30,3;22,2;51;1;109,5;3,42;Above Median
McDonald's;Daba Daba Burger;409,2;36,8;16,03;24,04;360;Burger;Beef;Regular;Global Chain;1,14;0,0445;52,9;15,7;36;0;76,9;4,68;Above Median
McDonald's;Çıtır Tavuk;377;49,7;11,07;16,03;290;Sandwich;Chicken;Regular;Global Chain;1,3;0,0382;38,3;11,7;52,7;0;76,8;3,78;Below Median
McDonald's;Double Acılı Tavuk;532,6;72,8;40,9;12,02;360;Sandwich;Chicken;Large;Global Chain;1,48;0,1136;20,3;30,7;54,7;1;125,7;2,86;Above Median
McDonald's;Acılı Tavuk;379,8;59,1;24,01;7,04;360;Sandwich;Chicken;Regular;Global Chain;1,06;0,0667;16,7;25,3;62,2;0;90,2;3,99;Above Median
McDonald's;Showburger Etli Barbekü Soslu;550;52,3;25,07;27,08;425;Burger;Beef;Regular;Global Chain;1,29;0,059;44,3;18,2;38;1;104,4;4,07;Above Median
McDonald's;Showburger Etli Karabiber Soslu;583,5;48;25,07;33,4;425;Burger;Beef;Regular;Global Chain;1,37;0,059;51,5;17,2;32,9;1;106,5;3,99;Above Median
McDonald's;Showburger Tavuklu Buffalo Soslu;519,5;54,1;29,07;22,05;360;Burger;Chicken;Regular;Global Chain;1,44;0,0808;38,2;22,4;41,7;1;105,2;3,42;Above Median
McDonald's;Showburger Tavuklu Karabiber Soslu;521,4;53,9;29,08;22,08;360;Burger;Chicken;Regular;Global Chain;1,45;0,0808;38,1;22,3;41,4;1;105,1;3,43;Above Median
McDonald's;Chicken McNuggets 4'lü;147,1;9,04;12,09;6,09;335;Nuggets;Chicken;Small;Global Chain;0,44;0,0361;37,3;32,9;24,6;0;27,2;12,32;Below Median
McDonald's;Chicken McNuggets 6'lı;220,6;14,01;19,03;10,03;335;Nuggets;Chicken;Regular;Global Chain;0,66;0,0568;40,9;34,5;25,4;0;43,1;7,77;Below Median
McDonald's;Çıtır Soğan 10'lu;383;55,5;5,04;15,09;335;Chicken Piece;Mixed/Processed Meat;Regular;Global Chain;1,14;0,015;35,5;5,3;58;0;75,6;4,43;Below Median
McDonald's;Acılı McBites;267,3;17,02;15,09;15,03;335;Chicken Piece;Mixed/Processed Meat;Regular;Global Chain;0,8;0,045;50,6;22,6;25,5;0;47,1;7,11;Below Median
McDonald's;Patates Kızartması - Küçük Boy;240,3;34,2;3,02;10,06;75;Side;None/Vegetarian;Small;Global Chain;3,2;0,0403;37,7;5;56,9;0;47,3;1,59;Below Median
McDonald's;Patates Kızartması - Orta Boy;310;44,1;4,01;13,06;80;Side;None/Vegetarian;Medium;Global Chain;3,88;0,0501;37,9;5,2;56,9;0;61,2;1,31;Below Median
McDonald's;Patates Kızartması - Büyük Boy;434,9;61,9;5,07;19,01;85;Side;None/Vegetarian;Large;Global Chain;5,12;0,0596;39,3;4,7;56,9;0;86;0,99;Below Median
McDonald's;Patates Kızartması - Süper Boy;511,8;72,8;6,07;22,05;90;Side;None/Vegetarian;Large;Global Chain;5,69;0,0674;38,8;4,7;56,9;0;100,9;0,89;Below Median
McDonald's;Akdeniz Salata;121,7;6,03;6,09;7,07;290;Side;None/Vegetarian;Regular;Global Chain;0,42;0,021;52,3;20;19,8;0;19,2;15,1;Below Median
McDonald's;Acılı Chicken McBites Salata;236,3;19,03;15;11,09;290;Chicken Piece;Chicken;Regular;Global Chain;0,81;0,0517;42,2;25,4;32,2;0;45,1;6,43;Below Median
McDonald's;Küçük Salata;22,09;3,03;1;0,6;150;Side;None/Vegetarian;Small;Global Chain;0,15;0,0067;24,4;18,1;54,9;0;4,6;32,61;Below Median
McDonald's;Happy Meal - Hamburgerli Menü;363,6;39,5;14,09;13,08;325;Kids Menu;Beef;Regular;Global Chain;1,12;0,0434;32,4;15,5;43,5;0;66,7;4,87;Below Median
McDonald's;Happy Meal - Nugget'lı Menü;305,1;22,01;11,07;16,07;325;Kids Menu;Chicken;Regular;Global Chain;0,94;0,0341;47,4;14,5;28,9;0;49,2;6,61;Below Median
McDonald's;Happy Meal - Çıtır Tavuklu Menü;499,3;58,9;13,01;22,04;325;Kids Menu;Chicken;Regular;Global Chain;1,54;0,04;39,7;10,4;47,2;0;93,9;3,46;Below Median
McDonald's;Happy Meal - Cheeseburgerli Menü;409,5;40,1;17,07;17,04;335;Kids Menu;Beef;Regular;Global Chain;1,22;0,051;37,5;16,7;39,2;0;74,2;4,51;Below Median
McDonald's;Kaşarlı-Sucuklu Karışık Tost;430,5;57,5;17,06;15,09;335;Sandwich;Beef;Regular;Global Chain;1,29;0,0509;31,5;15,9;53,4;0;89,6;3,74;Below Median
McDonald's;Mozarellalı Focaccia Sandviç;371;47,7;17,01;13,05;335;Sandwich;Mixed/Processed Meat;Regular;Global Chain;1,11;0,0508;31,7;18,3;51,4;0;77,8;4,31;Below Median
McDonald's;Dil Peynirli Sandviç;390,4;48,2;20,06;13,08;335;Sandwich;Mixed/Processed Meat;Regular;Global Chain;1,17;0,0599;30,2;20,6;49,4;0;81,3;4,12;Below Median
Domino's Pizza;Simply Cheese (Classic Crust);180;26,08;6,09;4,06;340;Pizza;Vegetarian;Regular;Global Chain;0,53;0,0179;20,3;13,5;58;0;36,2;9,39;Below Median
Domino's Pizza;Beef & Onion (Classic Crust);180;28,09;6,05;4;395;Pizza;Beef;Regular;Global Chain;0,46;0,0153;20;13,4;62,4;0;38,1;10,37;Above Median
Domino's Pizza;Veg Trio (Classic Crust);158;26,04;5,08;3;395;Pizza;Vegetarian;Regular;Global Chain;0,4;0,0129;17,1;12,9;65,9;0;34,1;11,58;Above Median
Domino's Pizza;Cheesy GGarlic Pizza (Classic Crust);178;26,07;6;5;435;Pizza;Vegetarian;Regular;Global Chain;0,41;0,0138;25,3;13,5;58,6;0;37,1;11,73;Above Median
Domino's Pizza;Pepperoni (Classic Crust);176;26,05;6,04;4,06;395;Pizza;Mixed/Processed Meat;Regular;Global Chain;0,45;0,0153;20,8;13,7;59,2;0;36,2;10,91;Above Median
Domino's Pizza;Hawaiian (Classic Crust);179;28,04;6,05;3,09;395;Pizza;Mixed/Processed Meat;Regular;Global Chain;0,45;0,0153;15,5;13,5;62,7;0;37,2;10,62;Above Median
Domino's Pizza;Ham & Cheese (Classic Crust);174;27,01;6,06;4;395;Pizza;Mixed/Processed Meat;Regular;Global Chain;0,44;0,0153;20,7;13,9;62,1;0;37,1;10,65;Above Median
Domino's Pizza;Margherita (Classic Crust);167;26,07;6,01;3,05;340;Pizza;Vegetarian;Regular;Global Chain;0,49;0,0177;16,4;14,4;62,4;0;35,1;9,69;Below Median
Domino's Pizza;BBQ Hot Dog (Classic Crust);140;17;5,08;5,03;410;Pizza;Mixed/Processed Meat;Regular;Global Chain;0,34;0,0124;32,3;14,5;48,6;0;27,1;15,13;Above Median
Domino's Pizza;BBQ Sausage and Onion (Classic Crust);128;18,01;5;3,08;410;Pizza;Mixed/Processed Meat;Regular;Global Chain;0,31;0,0122;21,7;15,6;56,3;0;26,1;15,71;Above Median
Domino's Pizza;Spicy Masala Margherita (Classic Crust);167;26,04;5,05;4,03;380;Pizza;Vegetarian;Regular;Global Chain;0,44;0,0133;21,7;12,1;62,4;0;35,1;10,83;Above Median
Domino's Pizza;Simply Cheese Cheesy Crust;233;27,07;10,01;8,06;430;Pizza;Vegetarian;Regular;Global Chain;0,54;0,0233;31,1;17,2;46,5;0;45,1;9,53;Above Median
Domino's Pizza;Pepperoni Cheesy Crust;230;27,04;9,07;8,07;430;Pizza;Mixed/Processed Meat;Regular;Global Chain;0,53;0,0211;31,6;15,8;47;0;44,2;9,73;Above Median
Domino's Pizza;Creamy Mushroom and Veg (Classic Crust);163;25,08;5,08;3,08;340;Pizza;Vegetarian;Regular;Global Chain;0,48;0,0149;17;12,5;61,5;0;33,2;10,24;Below Median
Domino's Pizza;Vegorama (Classic Crust);168;27,04;5,09;3,05;395;Pizza;Vegetarian;Regular;Global Chain;0,43;0,0129;16,3;12,1;64,4;0;35,2;11,22;Above Median
Domino's Pizza;Mega Pepperoni (Classic Crust);204;26,07;7,08;7;410;Pizza;Mixed/Processed Meat;Large;Global Chain;0,5;0,0173;30,9;13,9;51,1;1;40,2;10,2;Above Median
Domino's Pizza;3 Meats (Classic Crust);195;26,09;7,08;5,08;410;Pizza;Mixed/Processed Meat;Regular;Global Chain;0,48;0,0173;23,4;14,5;53,5;0;38,2;10,73;Above Median
Domino's Pizza;Spicy Lovers (Classic Crust);178;26,08;6,05;4,06;410;Pizza;Mixed/Processed Meat;Regular;Global Chain;0,43;0,0148;20,5;13,6;58,6;0;36,2;11,33;Above Median
Domino's Pizza;Cheese Deluxe (Classic Crust);182;26,02;7,02;5,02;435;Pizza;Vegetarian;Regular;Global Chain;0,42;0,0161;24,8;15,4;57,2;1;38,1;11,42;Above Median
Domino's Pizza;Manuka Hot Honey (Classic Crust);196;28,07;7,02;5,06;410;Pizza;Mixed/Processed Meat;Regular;Global Chain;0,48;0,0171;23,2;14,3;57,3;0;40,2;10,2;Above Median
Domino's Pizza;Smokey BBQ Chicken (Classic Crust);167;27,05;7;2,09;410;Pizza;Chicken;Regular;Global Chain;0,41;0,0171;11,3;16,8;64,8;0;36,1;11,36;Above Median
Domino's Pizza;Loaded GGarlic Cheese (Classic Crust);210;26,01;8,01;8,01;435;Pizza;Vegetarian;Regular;Global Chain;0,48;0,0184;34,3;15,3;49,5;1;42;10,36;Above Median
Domino's Pizza;BBQ Meatlovers (Extra Large);325;44,6;12,06;10,04;455;Pizza;Mixed/Processed Meat;Large;Global Chain;0,71;0,0265;27,8;14,8;54,9;0;66,7;6,82;Above Median
Domino's Pizza;Double Bacon Cheeseburger (Extra Large);318;44,1;11,05;10,03;455;Pizza;Beef;Large;Global Chain;0,7;0,0243;28,4;13,9;55,5;1;65,2;6,98;Above Median
Domino's Pizza;Mr Wedge (Extra Large);322;48,7;9,09;9,03;395;Side;None/Vegetarian;Large;Global Chain;0,82;0,023;25,2;11,3;60,5;0;66,8;5,91;Above Median
Domino's Pizza;Supreme (Extra Large);287;41,1;10,08;8,01;410;Pizza;Mixed/Processed Meat;Large;Global Chain;0,7;0,0246;25,1;14;57,3;1;59,2;6,93;Above Median
Domino's Pizza;Godfather (Extra Large);286;41,7;10,01;8,02;455;Pizza;Mixed/Processed Meat;Large;Global Chain;0,63;0,022;25,2;14;58,3;1;59,7;7,62;Above Median
Domino's Pizza;Chicken Supreme (Extra Large);261;41,5;10,07;5,01;410;Pizza;Chicken;Large;Global Chain;0,64;0,0246;17,3;15,4;63,6;1;56,6;7,24;Above Median
Domino's Pizza;Funky Chicken (Extra Large);276;40,6;10;7,08;410;Pizza;Chicken;Large;Global Chain;0,67;0,0244;23,1;14,5;58,8;0;57,7;7,11;Above Median
Domino's Pizza;Loaded Hot Dog Pizza (Extra Large);256;26,04;10,09;11,06;410;Pizza;Mixed/Processed Meat;Large;Global Chain;0,62;0,0246;38,9;15,8;40,7;1;47,2;8,69;Above Median
Domino's Pizza;Tikka Sweet Heat (Extra Large);264;41,6;10,05;5,08;410;Pizza;Mixed/Processed Meat;Large;Global Chain;0,64;0,0245;17,3;15,2;63;0;56,7;7,23;Above Median
Domino's Pizza;Tandoori Lava (Extra Large);282;40,7;11;8,07;455;Pizza;Mixed/Processed Meat;Large;Global Chain;0,62;0,0242;25,8;15,6;57,7;0;59,8;7,61;Above Median
Domino's Pizza;Supreme Cheesy Crust;243;28,03;10,05;9,04;430;Pizza;Mixed/Processed Meat;Regular;Global Chain;0,57;0,0234;33,5;16,5;46,1;1;47,1;9,13;Above Median
Domino's Pizza;BBQ Meatlovers Cheesy Crust;269;30,06;11,05;10,09;430;Pizza;Mixed/Processed Meat;Regular;Global Chain;0,63;0,0257;33,8;16,4;44,7;0;51,2;8,4;Above Median
Domino's Pizza;Kiwi BBQ (Extra Large);289;43,7;10,09;7,05;410;Pizza;Mixed/Processed Meat;Large;Global Chain;0,7;0,0246;22;14;60,5;0;60,8;6,74;Above Median
Domino's Pizza;Hot Honey BBQ Chicken (Extra Large);304;46,9;13;6,08;410;Pizza;Chicken;Large;Global Chain;0,74;0,0317;18;17,1;61,7;0;66;6,21;Above Median
Domino's Pizza;Cheesy BBQ Meats (Extra Large);290;40;11,03;9,02;455;Pizza;Mixed/Processed Meat;Large;Global Chain;0,64;0,0242;28;15,2;55,2;0;60;7,58;Above Median
Domino's Pizza;Mega Meatlovers (Classic Crust);226;28,04;9,02;8;395;Pizza;Mixed/Processed Meat;Large;Global Chain;0,57;0,0228;31,9;16;49,6;1;45,1;8,76;Above Median
Domino's Pizza;GGarlic Prawn (Classic Crust);180;26,07;7,02;4,06;410;Pizza;Fish/Seafood;Regular;Global Chain;0,44;0,0171;20,3;15,6;57,9;0;37,2;11,02;Above Median
Domino's Pizza;Chicken & Camembert (Classic Crust);229;27,02;8,09;9;410;Pizza;Chicken;Regular;Global Chain;0,56;0,0197;35,4;14,1;47,2;0;44,1;9,3;Above Median
Domino's Pizza;Peri Peri Chicken (Classic Crust);195;27,09;7,04;5,06;410;Pizza;Chicken;Regular;Global Chain;0,48;0,0172;23,4;14,4;55,6;0;39,2;10,46;Above Median
Domino's Pizza;Apricot Chicken (Classic Crust);186;29,04;7,03;4;410;Pizza;Chicken;Regular;Global Chain;0,45;0,0171;19,4;15,1;62,5;0;40,1;10,22;Above Median
Domino's Pizza;Buffalo Chicken & Bacon with Ranch (Classic Crust);217;28,01;8,09;7,05;410;Pizza;Chicken;Regular;Global Chain;0,53;0,0197;29,2;14,9;51,6;0;43,2;9,49;Above Median
Domino's Pizza;The Lot (Classic Crust);242;28,05;8,08;10;455;Pizza;Mixed/Processed Meat;Regular;Global Chain;0,53;0,0178;37,2;13,4;46,4;0;46,1;9,87;Above Median
Domino's Pizza;Cheeseburger Pizza (Classic Crust);193;18;8,08;9,04;410;Pizza;Beef;Regular;Global Chain;0,47;0,0197;42,2;16,7;37,3;0;35,1;11,68;Above Median
Domino's Pizza;Chicken Bacon & Ranch (Classic Crust);204;27,06;8;6,04;410;Pizza;Chicken;Regular;Global Chain;0,5;0,0195;26,6;15,7;53,1;0;41,1;9,98;Above Median
Domino's Pizza;Chicken Cranberry and Camembert (Classic Crust);201;28;8,03;5,09;410;Pizza;Chicken;Regular;Global Chain;0,49;0,0196;22,8;16;55,7;0;41,1;9,98;Above Median
Domino's Pizza;Kiwi Feast (Classic Crust);180;27,05;7,06;4;395;Pizza;Mixed/Processed Meat;Regular;Global Chain;0,46;0,0179;20;15,7;60,1;0;38,1;10,37;Above Median
Domino's Pizza;Crumbed Onion Royale (Classic Crust);231;31,08;8,01;7,08;410;Pizza;Mixed/Processed Meat;Regular;Global Chain;0,56;0,0195;27,6;13,9;53,8;0;46,2;8,87;Above Median
Domino's Pizza;Butter Chicken (Classic Crust);184;28,05;7,05;4,01;410;Pizza;Chicken;Regular;Global Chain;0,45;0,0172;19,6;15,3;61;0;39,1;10,49;Above Median
Domino's Pizza;Indi Chicken Tikka (Classic Crust);180;27,04;7,02;4,03;410;Pizza;Chicken;Regular;Global Chain;0,44;0,0171;20,2;15,6;60,1;0;38,1;10,76;Above Median
Domino's Pizza;Spicy Peppy Paneer (Classic Crust);195;28,04;6,05;5,08;395;Pizza;Vegetarian;Regular;Global Chain;0,49;0,0153;23,4;12,4;57,5;0;39,2;10,08;Above Median
Domino's Pizza;Vegan Veg Trio (Classic Crust);164;27,05;4,01;3,08;395;Pizza;Vegetarian;Regular;Global Chain;0,42;0,0102;16,9;9,8;66;0;34,1;11,58;Above Median
Domino's Pizza;Vegan Vegorama (Classic Crust);165;27,07;4,02;3,08;395;Pizza;Vegetarian;Regular;Global Chain;0,42;0,0102;16,8;9,7;65,6;0;34,2;11,55;Above Median
Domino's Pizza;Mega Topped Ham and Cheese;251;39,7;9,08;5,06;395;Pizza;Mixed/Processed Meat;Large;Global Chain;0,64;0,023;18,1;14,5;63,3;1;53,8;7,34;Above Median
Domino's Pizza;Mega Topped Hawaiian;261;41,7;9,09;5,06;395;Pizza;Mixed/Processed Meat;Large;Global Chain;0,66;0,023;17,4;13,9;63,9;1;55,9;7,07;Above Median
Domino's Pizza;Mega Topped BBQ Sausage and Onion;251;41;9,02;5,03;395;Pizza;Mixed/Processed Meat;Large;Global Chain;0,64;0,0228;18;14,4;65,3;1;55;7,18;Above Median
Domino's Pizza;Mega Topped Beef and Onion;254;40,9;9,09;5,04;395;Pizza;Beef;Large;Global Chain;0,64;0,023;17,9;14,3;64,4;1;55;7,18;Above Median
Domino's Pizza;Cheesy GGarlic Scrolls 4 Pack;949;129;26;35,9;340;Side;None/Vegetarian;Regular;Global Chain;2,79;0,0765;34;11;54,4;0;190,9;1,78;Below Median
Domino's Pizza;Cheesy GGGarlic Bread;670;75;24;30,05;340;Side;None/Vegetarian;Regular;Global Chain;1,97;0,0706;40,4;14,3;44,8;0;129;2,64;Below Median
Domino's Pizza;Southern Fried Chicken Bites - 20pk;338;16;21;21,04;410;Side;None/Vegetarian;Regular;Global Chain;0,82;0,0512;56;24,9;18,9;0;58;7,07;Above Median
Domino's Pizza;Value Chicken Mega Box - 50pk;929;43,9;57,8;58,9;410;Chicken Piece;Chicken;Large;Global Chain;2,27;0,141;57,1;24,9;18,9;1;160,6;2,55;Above Median
Domino's Pizza;GGarlic Bread;545;75,2;14,02;20,04;340;Side;None/Vegetarian;Regular;Global Chain;1,6;0,0412;33,1;10,3;55,2;0;109,3;3,11;Below Median
Domino's Pizza;Potato Wedges;479;64,2;7,05;21,03;340;Side;None/Vegetarian;Regular;Global Chain;1,41;0,0207;39,5;5,9;53,6;0;92,3;3,68;Below Median
Domino's Pizza;Cheesy GGarlic Naan;937;125;27,04;35,6;340;Side;None/Vegetarian;Regular;Global Chain;2,76;0,0795;34,2;11,5;53,4;0;187,6;1,81;Below Median
Domino's Pizza;Crispy Chips with Domino's Pizza Salt;817;80,3;10,06;42,1;340;Side;None/Vegetarian;Regular;Global Chain;2,4;0,0296;46,4;4,9;39,3;0;132,5;2,57;Below Median
Domino's Pizza;Pepperoni Stuffed Cheesy Bread;606;65,7;24,06;26,09;340;Side;None/Vegetarian;Regular;Global Chain;1,78;0,0708;38,7;15,9;43,4;0;115,8;2,94;Below Median
Domino's Pizza;Cheese Volcano;839;68,2;37,8;46;435;Side;None/Vegetarian;Regular;Global Chain;1,93;0,0869;49,3;18;32,5;0;152;2,86;Above Median
Domino's Pizza;Triple Cheese Bites - 5 Pack;295;24;13,01;16,03;340;Side;None/Vegetarian;Regular;Global Chain;0,87;0,0383;48,9;17,6;32,5;0;53;6,42;Below Median
Domino's Pizza;Onion Rings;215;21;3,03;13,07;340;Side;None/Vegetarian;Regular;Global Chain;0,63;0,0089;54,7;5,6;39,1;0;37,1;9,16;Below Median
Domino's Pizza;Chicken Box with Aioli Dipping Sauce;1560;70,5;106;95,1;410;Chicken Piece;Chicken;Regular;Global Chain;3,8;0,2585;54,9;27,2;18,1;0;271,6;1,51;Above Median
Domino's Pizza;Chicken Nuggets - 6pk;277;16,07;17,04;15,07;340;Side;None/Vegetarian;Regular;Global Chain;0,81;0,0501;49;24,6;23,2;0;48,2;7,05;Below Median
Domino's Pizza;My Domino's Chicken Nuggets - 3pk;139;8,03;8,07;7,09;340;Side;None/Vegetarian;Small;Global Chain;0,41;0,0237;45,9;23,2;23,1;0;23,2;14,66;Below Median
